Instrument,Classification,H-S Number,Origin,Common classification,Relation
Adungu,chordophones,3,Uganda,stringed instruments,
Aeolian harp,chordophones,3,Germany,stringed instruments,
Ajaeng,chordophones,3,Korea,stringed instruments,
Akkordolia,chordophones,3,"Austria, Germany",stringed instruments,
Algerian mandole,chordophones,321.322,"Algeria, Berbers, Saudi Arabia, Tunisia",stringed instruments,
Angélique,chordophones,321.321,,stringed instruments,
Appalachian dulcimer,chordophones,3,"Germany, United States",stringed instruments,
Arbajo,chordophones,321.321-6,Nepal,stringed instruments,
Archlute,chordophones,321.321,Western Europe,stringed instruments,
Arpeggione,chordophones,3,Austria,stringed instruments,
Autoharp,chordophones,3,United States,stringed instruments,
Bağlama,chordophones,321.321,"Armenia, Azerbaijan, Bosnia and Herzegovina, Kurdistan, Macedonia, Turkey, Turkmenistan",stringed instruments,
Bajo sexto,chordophones,3,Mexico,stringed instruments,
Balalaika,chordophones,321.321,Russia,stringed instruments,
Bandola,chordophones,321.322,"Colombia, Venezuela",stringed instruments,
Bandolin,chordophones,3,Ecuador,stringed instruments,
Bandolón,chordophones,3,Mexico,stringed instruments,
Bandura,chordophones,321.321,Ukraine,stringed instruments,
Bandora,chordophones,321.321,,stringed instruments,
Bandurria,chordophones,321.321,"Aragon, Philippines, Spain",stringed instruments,
Banhu,chordophones,321.321,China,stringed instruments,
Banjo,chordophones,3,North America,stringed instruments,
Banjo cello,chordophones,3,North America,stringed instruments,
Bass banjo,chordophones,3,North America,stringed instruments,
Five-stringed banjo,chordophones,3,North America,stringed instruments,
Bluegrass banjo,chordophones,3,North America,stringed instruments,
Four-stringed banjo,chordophones,3,North America,stringed instruments,
Plectrum banjo,chordophones,3,North America,stringed instruments,
Six-stringed banjo,chordophones,3,North America,stringed instruments,
Tenor banjo,chordophones,3,North America,stringed instruments,
Zither banjo,chordophones,3,North America,stringed instruments,
Banjo ukulele,chordophones,3,United States,stringed instruments,
Barbat,chordophones,321.321,"Armenia, Iran",stringed instruments,
Baryton,chordophones,3,England,stringed instruments,
Berimbau,chordophones,3,Brazil,stringed instruments,
Bipa,chordophones,3,Korea,stringed instruments,
Biwa,chordophones,321.321,Japan,stringed instruments,
Bordonua,chordophones,3,Puerto Rico,stringed instruments,
Bouzouki,chordophones,321.321,Greece,stringed instruments,
Buzuq,chordophones,321.321,Saudi Arabia,stringed instruments,
Carimba,chordophones,3,Mexico,stringed instruments,
Cavaquinho,chordophones,3,Portugal,stringed instruments,
Cello,chordophones,3,,stringed instruments,
Cello da spalla,chordophones,3,,stringed instruments,
Electric cello,chordophones,3,,stringed instruments,
Chapman stick,chordophones,3,United States,stringed instruments,
Charangos,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Charango,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Charangón,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Hualaycho,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Walaycho,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Ronroco,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Hatun charango,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Chillador,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Ayacucho,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Bajo charango,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Chango,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Charango mediano,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
KhonKhota,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Moquegua,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Pampeno,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Shreiker,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Sonko,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Vallegrandino,chordophones,321.321,"Argentina, Bolivia, Chile, Peru,",stringed instruments,
Chitarra battente,chordophones,3,Italy,stringed instruments,
Chitarra Italiana,chordophones,321.322,,stringed instruments,
Choghur,chordophones,3,Azerbaijan,stringed instruments,
Cimbalom,chordophones,3,Central and Eastern Europe,stringed instruments,
Electric cymbalum,chordophones,3,Central and Eastern Europe,stringed instruments,
Cimboa,chordophones,321.322,Cape Verde,stringed instruments,
Citole,chordophones,3,Western Europe,stringed instruments,
Cittern,chordophones,321.322,"England, Scotland, Switzerland",stringed instruments,
Clavichord,chordophones,3,Western Europe,stringed instruments,
Clavinet,chordophones,3,United States,stringed instruments,
Concheras mandolinos,chordophones,321.321-6,Mexico,stringed instruments,"charango, mandolin, Mexican vihuela, guitar"
Guitarra conchera,chordophones,321.321-6,Mexico,stringed instruments,"charango, mandolin, Mexican vihuela, guitar"
Vihuela conchera guitarras,chordophones,321.321-6,Mexico,stringed instruments,"charango, mandolin, Mexican vihuela, guitar"
Contraguitar,chordophones,3,,stringed instruments,
Crwth,chordophones,3,Wales,stringed instruments,
Cuatro,chordophones,3,Latin America,stringed instruments,
Cümbüş,chordophones,3,Turkey,stringed instruments,
Đàn bầu,chordophones,3,Vietnam,stringed instruments,
Đàn đáy,chordophones,3,Vietnam,stringed instruments,
Đàn gáo,chordophones,3,Vietnam,stringed instruments,
Đàn nguyệt,chordophones,3,Vietnam,stringed instruments,
Đàn tam thập lục,chordophones,3,Vietnam,stringed instruments,
Đàn tranh,chordophones,3,Vietnam,stringed instruments,
Đàn Tre,chordophones,3,Vietnam,stringed instruments,
Đàn tỳ bà,chordophones,3,Vietnam,stringed instruments,
Diddley bow,chordophones,3,United States,stringed instruments,
Dihu,chordophones,3,China,stringed instruments,
Dombra,chordophones,321.321,"Azerbaijan, Bashkortostan, Kazakhstan, Kyrgyzstan, Russia, Tatarstan, Uzbekistan",stringed instruments,
Domra,chordophones,321.321,Russia,stringed instruments,
Doshpuluur,chordophones,321.322,Tuva,stringed instruments,
Dotara,chordophones,321.321-6,Bangladesh,stringed instruments,
Double bass,chordophones,321.322-71,Western Europe,stringed instruments,
Five-string double bass,chordophones,321.322-71,Western Europe,stringed instruments,
Dreadnought,chordophones,3,,stringed instruments,
Dulcimer,chordophones,3,England,stringed instruments,
Dutar,chordophones,321.322,"Azerbaijan, Iran, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan",stringed instruments,
Duxianqin,chordophones,3,China,stringed instruments,
Ektara,chordophones,33-5,"India, Pakistan",stringed instruments,
Erhu,chordophones,3,China,stringed instruments,
Erxian,chordophones,3,China,stringed instruments,
Esraj,chordophones,3,India,stringed instruments,
Faglong,chordophones,3,Philippines,stringed instruments,
Fuglung,chordophones,3,Philippines,stringed instruments,
Fegereng,chordophones,3,Philippines,stringed instruments,
Fiddle,chordophones,321.322-71,Western Europe,stringed instruments,
Gaohu,chordophones,3,China,stringed instruments,
Gayageum,chordophones,3,Korea,stringed instruments,
Geomungo,chordophones,3,Korea,stringed instruments,
Gittern,chordophones,3,Western Europe,stringed instruments,
Gottuvadhyam,chordophones,3,India,stringed instruments,
Acoustic guitar,chordophones,3,"Spain, et al",stringed instruments,
Acoustic bass guitar,chordophones,3,"Spain, et al",stringed instruments,
Acoustic-electric guitar,chordophones,3,"Spain, et al",stringed instruments,
Archtop guitar,chordophones,3,"Spain, et al",stringed instruments,
Baritone guitar,chordophones,3,"Spain, et al",stringed instruments,
Baroque guitar,chordophones,3,"Spain, et al",stringed instruments,
Bass guitar,chordophones,3,"Spain, et al",stringed instruments,
Bahian guitar,chordophones,3,"Spain, et al",stringed instruments,
Chitarra battente,chordophones,3,"Spain, et al",stringed instruments,
Cigar box guitar,chordophones,3,"Spain, et al",stringed instruments,
Classical guitar,chordophones,3,"Spain, et al",stringed instruments,
Console steel guitar,chordophones,3,"Spain, et al",stringed instruments,
Electric guitar,chordophones,3,"Spain, et al",stringed instruments,
English guitar,chordophones,3,"Spain, et al",stringed instruments,
Fretless guitar,chordophones,3,"Spain, et al",stringed instruments,
Lyre-guitar,chordophones,3,"Spain, et al",stringed instruments,
Extended-range guitars,chordophones,3,"Spain, et al",stringed instruments,
Alto guitar,chordophones,3,"Spain, et al",stringed instruments,
Seven-string guitar,chordophones,3,"Spain, et al",stringed instruments,
Eight-string guitar,chordophones,3,"Spain, et al",stringed instruments,
Nine-string guitar,chordophones,3,"Spain, et al",stringed instruments,
Ten-string guitar,chordophones,3,"Spain, et al",stringed instruments,
Eleven-string alto guitar,chordophones,3,"Spain, et al",stringed instruments,
Twelve-string guitar,chordophones,3,"Spain, et al",stringed instruments,
Flamenco guitar,chordophones,3,"Spain, et al",stringed instruments,
Guitarra quinta huapanguera,chordophones,3,"Spain, et al",stringed instruments,
Guitar synthesizer,chordophones,3,"Spain, et al",stringed instruments,
Guitarrón,chordophones,3,"Spain, et al",stringed instruments,
Gut-stringed guitars,chordophones,3,"Spain, et al",stringed instruments,
Lap steel guitar,chordophones,3,"Spain, et al",stringed instruments,
Dobro,chordophones,3,"Spain, et al",stringed instruments,
National Steel,chordophones,3,"Spain, et al",stringed instruments,
Multi-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Double-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Triple-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Quadruple-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Five-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Six-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Seven-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Eight-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Rock Ock,chordophones,3,"Spain, et al",stringed instruments,
Twelve-neck guitar,chordophones,3,"Spain, et al",stringed instruments,
Octave guitar,chordophones,3,"Spain, et al",stringed instruments,
Parlor guitar,chordophones,3,"Spain, et al",stringed instruments,
Pedal steel guitar,chordophones,3,"Spain, et al",stringed instruments,
Resophonic guitar,chordophones,3,"Spain, et al",stringed instruments,
Romantic guitar,chordophones,3,"Spain, et al",stringed instruments,
Russian guitar,chordophones,3,"Spain, et al",stringed instruments,
Selmer guitar,chordophones,3,"Spain, et al",stringed instruments,
Semi-acoustic guitar,chordophones,3,"Spain, et al",stringed instruments,
Slide guitar,chordophones,3,"Spain, et al",stringed instruments,
Silent guitar,chordophones,3,"Spain, et al",stringed instruments,
Steel guitar,chordophones,3,"Spain, et al",stringed instruments,
Steel-string acoustic guitar,chordophones,3,"Spain, et al",stringed instruments,
Tenor guitar,chordophones,3,"Spain, et al",stringed instruments,
Terz guitar,chordophones,3,"Spain, et al",stringed instruments,
Yotar,chordophones,3,"Spain, et al",stringed instruments,
Guitarra de golpe,chordophones,3,Mexico,stringed instruments,
Guitarra panzona,chordophones,3,Mexico,stringed instruments,
Guitarra séptima,chordophones,3,Mexico,stringed instruments,
Guitarro,chordophones,3,"Andalusia, Aragon, Spain",stringed instruments,
Gusli,chordophones,3,Russia,stringed instruments,
Guqin,chordophones,312.22,China,stringed instruments,
Guzheng,chordophones,3,China,stringed instruments,
Haegeum,chordophones,3,Korea,stringed instruments,
Hammered dulcimer,chordophones,3,"Austria, England, Germany, Hungary, Poland, Romania, Saudi Arabia, United States",stringed instruments,
Hardanger fiddle,chordophones,3,Norway,stringed instruments,
Harmonico,chordophones,3,,stringed instruments,
Harp ,chordophones,3,Worldwide,stringed instruments,
Electric harp,chordophones,3,Worldwide,stringed instruments,
Harp guitar,chordophones,3,France,stringed instruments,
Harpsichord,chordophones,3,Western Europe,stringed instruments,
Hegelong,chordophones,3,Philippines,stringed instruments,
Huapanguera,chordophones,3,Mexico,stringed instruments,
Huluhu,chordophones,3,China,stringed instruments,
Huqin,chordophones,3,China,stringed instruments,
Hurdy-gurdy,chordophones,3,"Austria, Belarus, Czech, England, France, Germany, Hungary, Ireland, Italy, Poland, Portugal, Russia, Slovakia, Spain, Switzerland, Ukraine",stringed instruments,
Icelandic fiddle,chordophones,321.321-6,Iceland,stringed instruments,
Fiðla,chordophones,321.321-6,Iceland,stringed instruments,
Igil,chordophones,321.321,Tuva,stringed instruments,
Irish bouzouki,chordophones,321.322,"Greece, Ireland",stringed instruments,
Janzi,chordophones,3,Uganda,stringed instruments,
Jarana jarocho,chordophones,3,Mexico,stringed instruments,
Jarana huasteca,chordophones,3,Mexico,stringed instruments,
Jarana mosquito,chordophones,3,Mexico,stringed instruments,
Jarana segunda,chordophones,3,Mexico,stringed instruments,
Jarana tercera,chordophones,3,Mexico,stringed instruments,
Jiaohu,chordophones,3,China,stringed instruments,
Kabosy,chordophones,3,Madagascar,stringed instruments,
Kadlong,chordophones,3,Philippines,stringed instruments,
Kamancha,chordophones,3,Persia,stringed instruments,
Kantele,chordophones,314.122-5,Finland,stringed instruments,
Kemenche,chordophones,3,Turkey,stringed instruments,
Khim,chordophones,3,Thailand/Cambodia,stringed instruments,
Kobza,chordophones,3,Ukraine,stringed instruments,
Kokle,chordophones,314.122-5,Latvia,stringed instruments,
Kokyū,chordophones,3,Japan,stringed instruments,
Komuz,chordophones,3,"Azerbaijan, Dagestan, Hungary, Khakassia, Kyrgyzstan, Turkmenistan, Uzbekistan",stringed instruments,
Kora,chordophones,3,West Africa,stringed instruments,
Koto,chordophones,3,Japan,stringed instruments,
Kubing,chordophones,3,Philippines,stringed instruments,
Kudyapi,chordophones,3,Philippines,stringed instruments,
Kwitra,chordophones,3,"Algeria, Saudi Arabia",stringed instruments,
Langeleik,chordophones,3,Norway,stringed instruments,
Laouto,chordophones,321.321-6,Greece,stringed instruments,
Laruan,chordophones,3,China,stringed instruments,
Laúd,chordophones,321.321,"Cuba, Philippines, Spain",stringed instruments,
Lavta,chordophones,321.321-6,"Armenia, Greece, Turkey",stringed instruments,
Leiqin,chordophones,3,China,stringed instruments,
Leona,chordophones,3,Mexico,stringed instruments,
Lirone,chordophones,3,Italy,stringed instruments,
Liuqin,chordophones,321.321,China,stringed instruments,
Lokanga,chordophones,3,Madagascar,stringed instruments,
Lute,chordophones,3,Western Europe,stringed instruments,
Lute guitar,chordophones,3,Germany,stringed instruments,
Lyra,chordophones,3,Greece,stringed instruments,
Lyre,chordophones,321.2,"England, Greece",stringed instruments,
Maguhu,chordophones,3,China,stringed instruments,
Mandobass,chordophones,3,,stringed instruments,
Mandola,chordophones,3,,stringed instruments,
Mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Mandolin-banjo,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Mandocello,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Mandola,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Bluegrass mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Electric mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Octave mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
