name,category,subcategory
Abridged By,ACTING_LITERARY_AND_SPOKEN,
Adapted By,ACTING_LITERARY_AND_SPOKEN,
Announcer,ACTING_LITERARY_AND_SPOKEN,
Choreography,ACTING_LITERARY_AND_SPOKEN,
Interviewee,ACTING_LITERARY_AND_SPOKEN,
Interviewer,ACTING_LITERARY_AND_SPOKEN,
Liner Notes,ACTING_LITERARY_AND_SPOKEN,
Music Librarian,ACTING_LITERARY_AND_SPOKEN,
Narrator,ACTING_LITERARY_AND_SPOKEN,
Read By,ACTING_LITERARY_AND_SPOKEN,
Screenwriter,ACTING_LITERARY_AND_SPOKEN,
Script By,ACTING_LITERARY_AND_SPOKEN,
Sleeve Notes,ACTING_LITERARY_AND_SPOKEN,
Spoken By,ACTING_LITERARY_AND_SPOKEN,
Spoken Word,ACTING_LITERARY_AND_SPOKEN,
Text By,ACTING_LITERARY_AND_SPOKEN,
Voice Actor,ACTING_LITERARY_AND_SPOKEN,
