name,category,subcategory
Audio Mixer,TECHNICAL,
Crew,TECHNICAL,
Camera Operator,TECHNICAL,
Direct Metal Mastering,TECHNICAL,
DAW,TECHNICAL,
Edited By,TECHNICAL,
Engineer,TECHNICAL,
Engineered By,TECHNICAL,
Equipment,TECHNICAL,
Field Recording,TECHNICAL,
Filmed By,TECHNICAL,
Footage,TECHNICAL,
Instrument Builder,TECHNICAL,
Luthier,TECHNICAL,
Lathe Cut,TECHNICAL,
Lacquer Cut,TECHNICAL,
Mastered By,TECHNICAL,
Mixed By,TECHNICAL,
Overdubbed,TECHNICAL,
Plated,TECHNICAL,
Programmed By,TECHNICAL,
Recorded By,TECHNICAL,
Remastered By,TECHNICAL,
Remixed By,TECHNICAL,
Restoration,TECHNICAL,
Software Instrument,TECHNICAL,
Screen Printing,TECHNICAL,
Sequencer,TECHNICAL,
Translated By,TECHNICAL,
Tuner,TECHNICAL,
Tape Op,TECHNICAL,
Technician,TECHNICAL,
Tracking,TECHNICAL,
Transferred By,TECHNICAL,
Vocal Coach,TECHNICAL,
