name,category,subcategory
Adapted By,WRITING_AND_ARRANGEMENT,
Arranged By,WRITING_AND_ARRANGEMENT,
Author,WRITING_AND_ARRANGEMENT,
Authoring,WRITING_AND_ARRANGEMENT,
Cadenza,WRITING_AND_ARRANGEMENT,
Composed By,WRITING_AND_ARRANGEMENT,
Concept By,WRITING_AND_ARRANGEMENT,
Copyist,WRITING_AND_ARRANGEMENT,
Instrumentation By,WRITING_AND_ARRANGEMENT,
Libretto By,WRITING_AND_ARRANGEMENT,
Lyrics By,WRITING_AND_ARRANGEMENT,
Music By,WRITING_AND_ARRANGEMENT,
Music Consultant,WRITING_AND_ARRANGEMENT,
Musical Assistance,WRITING_AND_ARRANGEMENT,
Orchestrated By,WRITING_AND_ARRANGEMENT,
Programmed By,WRITING_AND_ARRANGEMENT,
Score Editor,WRITING_AND_ARRANGEMENT,
Score,WRITING_AND_ARRANGEMENT,
Sequenced By,WRITING_AND_ARRANGEMENT,
Songwriter,WRITING_AND_ARRANGEMENT,
Songwriting,WRITING_AND_ARRANGEMENT,
Sound Designer,WRITING_AND_ARRANGEMENT,
String Arrangement,WRITING_AND_ARRANGEMENT,
Transcription By,WRITING_AND_ARRANGEMENT,
Translated By,WRITING_AND_ARRANGEMENT,
Words By,WRITING_AND_ARRANGEMENT,
Written By,WRITING_AND_ARRANGEMENT,
